category,city,reason,recommendation
top_destination,Смоленск,Высокий комфорт-индекс (82.0),"Активно продавать туры, акцент на "
top_destination,Смоленск,Высокий комфорт-индекс (80.0),"Активно продавать туры, акцент на "
top_destination,Лаишево,Высокий комфорт-индекс (78.0),"Активно продавать туры, акцент на "
stay_home,Aksa,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Алдан,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Алдан,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Амга,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Амга,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Амга,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Андрюшкино,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Андрюшкино,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Anabar,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Anabar,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Anabar,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Антипаюта,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Антипаюта,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Антипаюта,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Батагай-Алыта,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Батагай-Алыта,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Батагай-Алыта,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Беклемишево,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Батамай,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Батамай,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Чара,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Чара,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Чара,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Chokurdakh (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Делянкир,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Делянкир,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Делянкир,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Джарджан,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Dzhikimda,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Dzhikimda,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Эйик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Эйик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Эйик,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Глубинное,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Халясавей,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Халясавей,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Хут,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Колымское Нагорье,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Колымское Нагорье,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Krasnoselkup,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Krasnoselkup,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ksenyevka,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ksenyevka,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ksenyevka,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Krest-Khaldzhay,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Красный Чикой,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Красный Чикой,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Кыкер,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Кыкер,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Кыра,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Кыра,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Кызыл,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Marresale,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Marresale,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Marresale,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Mirnyy (airport),"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Nadym (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Nadym (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Намцы,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Новый Порт,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ныда,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ныда,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ныда,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Novy Urengoy (airport),низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Novy Urengoy (airport),"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ноябрьск,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ноябрьск,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Ноябрьск,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Olga,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Olga,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Оймякон,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Оймякон,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Polyarny (airport),"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Питляр,низкая температура,Рекомендовать перенос поездки или предложить альтернативные направления
stay_home,Питляр,"низкая температура, высокая влажность",Рекомендовать перенос поездки или предложить альтернативные направления
